update,lr
408,3.96116504854369e-06
409,3.9708737864077675e-06
410,3.980582524271845e-06
411,3.990291262135922e-06
412,4.000000000000001e-06
413,4.009708737864078e-06
414,4.019417475728156e-06
415,4.029126213592233e-06
416,4.038834951456311e-06
417,4.048543689320389e-06
418,4.058252427184466e-06
419,4.067961165048544e-06
420,4.0776699029126215e-06
421,4.087378640776699e-06
422,4.097087378640777e-06
423,4.106796116504855e-06
424,4.116504854368932e-06
425,4.12621359223301e-06
426,4.135922330097088e-06
427,4.1456310679611654e-06
428,4.155339805825243e-06
429,4.165048543689321e-06
430,4.1747572815533986e-06
431,4.184466019417476e-06
432,4.194174757281554e-06
433,4.203883495145632e-06
434,4.213592233009709e-06
435,4.223300970873786e-06
436,4.233009708737865e-06
437,4.2427184466019425e-06
438,4.252427184466019e-06
439,4.262135922330097e-06
440,4.271844660194175e-06
441,4.281553398058253e-06
442,4.29126213592233e-06
443,4.300970873786408e-06
444,4.310679611650486e-06
445,4.320388349514563e-06
446,4.330097087378641e-06
447,4.339805825242719e-06
448,4.3495145631067965e-06
449,4.359223300970874e-06
450,4.368932038834952e-06
451,4.37864077669903e-06
452,4.388349514563107e-06
453,4.398058252427185e-06
454,4.407766990291263e-06
455,4.4174757281553404e-06
456,4.427184466019418e-06
457,4.436893203883496e-06
458,4.446601941747573e-06
459,4.4563106796116504e-06
460,4.466019417475729e-06
461,4.475728155339807e-06
462,4.4854368932038836e-06
463,4.495145631067961e-06
464,4.504854368932039e-06
465,4.514563106796117e-06
466,4.524271844660194e-06
467,4.533980582524272e-06
468,4.54368932038835e-06
469,4.5533980582524275e-06
470,4.563106796116505e-06
471,4.572815533980583e-06
472,4.582524271844661e-06
473,4.592233009708738e-06
474,4.601941747572816e-06
475,4.611650485436894e-06
476,4.6213592233009715e-06
477,4.631067961165049e-06
478,4.640776699029126e-06
479,4.650485436893205e-06
480,4.660194174757282e-06
481,4.66990291262136e-06
482,4.679611650485437e-06
483,4.689320388349515e-06
484,4.699029126213593e-06
485,4.70873786407767e-06
486,4.718446601941748e-06
487,4.728155339805825e-06
488,4.737864077669903e-06
489,4.747572815533981e-06
490,4.7572815533980585e-06
491,4.766990291262136e-06
492,4.776699029126214e-06
493,4.786407766990292e-06
494,4.796116504854369e-06
495,4.805825242718447e-06
496,4.815533980582525e-06
497,4.8252427184466025e-06
498,4.834951456310679e-06
499,4.844660194174758e-06
500,4.854368932038836e-06
501,4.864077669902913e-06
502,4.87378640776699e-06
503,4.883495145631069e-06
504,4.8932038834951465e-06
505,4.902912621359223e-06
506,4.912621359223301e-06
507,4.922330097087379e-06
508,4.932038834951457e-06
509,4.941747572815534e-06
510,4.951456310679612e-06
511,4.9611650485436896e-06
512,4.970873786407767e-06
513,4.980582524271845e-06
514,4.990291262135923e-06
515,5e-06
516,5.009708737864078e-06
517,5.019417475728156e-06
518,5.0291262135922335e-06
519,5.03883495145631e-06
520,5.048543689320389e-06
521,5.058252427184467e-06
522,5.0679611650485435e-06
523,5.077669902912622e-06
524,5.087378640776699e-06
525,5.0970873786407775e-06
526,5.106796116504855e-06
527,5.116504854368932e-06
528,5.126213592233011e-06
529,5.1359223300970875e-06
530,5.145631067961165e-06
531,5.155339805825244e-06
532,5.165048543689321e-06
533,5.174757281553398e-06
534,5.184466019417476e-06
535,5.194174757281554e-06
536,5.2038834951456314e-06
537,5.213592233009709e-06
538,5.223300970873787e-06
539,5.233009708737864e-06
540,5.242718446601942e-06
541,5.25242718446602e-06
542,5.262135922330097e-06
543,5.271844660194175e-06
544,5.281553398058253e-06
545,5.291262135922331e-06
546,5.3009708737864085e-06
547,5.310679611650485e-06
548,5.320388349514564e-06
549,5.330097087378642e-06
550,5.3398058252427185e-06
551,5.349514563106797e-06
552,5.359223300970874e-06
553,5.368932038834952e-06
554,5.37864077669903e-06
555,5.388349514563107e-06
556,5.398058252427185e-06
557,5.4077669902912625e-06
558,5.41747572815534e-06
559,5.427184466019419e-06
560,5.436893203883496e-06
561,5.446601941747573e-06
562,5.45631067961165e-06
563,5.466019417475729e-06
564,5.4757281553398064e-06
565,5.485436893203884e-06
566,5.495145631067962e-06
567,5.504854368932039e-06
568,5.514563106796117e-06
569,5.524271844660195e-06
570,5.533980582524272e-06
571,5.54368932038835e-06
572,5.553398058252427e-06
573,5.563106796116505e-06
574,5.5728155339805835e-06
575,5.58252427184466e-06
576,5.592233009708738e-06
577,5.601941747572816e-06
578,5.6116504854368935e-06
579,5.621359223300972e-06
580,5.631067961165049e-06
581,5.640776699029127e-06
582,5.6504854368932035e-06
583,5.660194174757282e-06
584,5.66990291262136e-06
585,5.6796116504854375e-06
586,5.689320388349515e-06
587,5.699029126213592e-06
588,5.708737864077671e-06
589,5.718446601941748e-06
590,5.728155339805825e-06
591,5.737864077669904e-06
592,5.747572815533981e-06
593,5.757281553398058e-06
594,5.766990291262137e-06
595,5.776699029126214e-06
596,5.786407766990291e-06
597,5.79611650485437e-06
598,5.805825242718447e-06
599,5.815533980582525e-06
600,5.825242718446602e-06
601,5.83495145631068e-06
602,5.8446601941747585e-06
603,5.854368932038835e-06
604,5.864077669902913e-06
605,5.873786407766991e-06
606,5.8834951456310685e-06
607,5.893203883495146e-06
608,5.902912621359224e-06
609,5.912621359223302e-06
610,5.9223300970873785e-06
611,5.932038834951457e-06
612,5.941747572815535e-06
613,5.951456310679612e-06
614,5.96116504854369e-06
615,5.970873786407767e-06
616,5.980582524271845e-06
617,5.990291262135923e-06
618,6e-06
619,6.009708737864079e-06
620,6.0194174757281556e-06
621,6.029126213592233e-06
622,6.038834951456312e-06
623,6.048543689320389e-06
624,6.058252427184466e-06
625,6.067961165048544e-06
626,6.077669902912622e-06
627,6.0873786407766995e-06
628,6.097087378640777e-06
629,6.106796116504855e-06
630,6.116504854368932e-06
631,6.12621359223301e-06
632,6.135922330097088e-06
633,6.145631067961165e-06
634,6.1553398058252435e-06
635,6.16504854368932e-06
636,6.174757281553399e-06
637,6.184466019417477e-06
638,6.1941747572815535e-06
639,6.203883495145632e-06
640,6.213592233009709e-06
641,6.223300970873787e-06
642,6.233009708737865e-06
643,6.242718446601942e-06
644,6.25242718446602e-06
645,6.262135922330098e-06
646,6.271844660194175e-06
647,6.281553398058253e-06
648,6.2912621359223306e-06
649,6.300970873786408e-06
650,6.310679611650487e-06
651,6.320388349514564e-06
652,6.330097087378641e-06
653,6.339805825242718e-06
654,6.349514563106797e-06
655,6.3592233009708745e-06
656,6.368932038834952e-06
657,6.37864077669903e-06
658,6.388349514563107e-06
659,6.398058252427185e-06
660,6.407766990291263e-06
661,6.41747572815534e-06
662,6.4271844660194185e-06
663,6.436893203883495e-06
664,6.446601941747573e-06
665,6.456310679611652e-06
666,6.4660194174757285e-06
667,6.475728155339806e-06
668,6.485436893203884e-06
669,6.495145631067962e-06
670,6.50485436893204e-06
671,6.514563106796117e-06
672,6.524271844660195e-06
673,6.533980582524272e-06
674,6.54368932038835e-06
675,6.553398058252428e-06
676,6.5631067961165056e-06
677,6.572815533980583e-06
678,6.58252427184466e-06
679,6.592233009708739e-06
680,6.601941747572816e-06
681,6.611650485436893e-06
682,6.621359223300972e-06
683,6.631067961165049e-06
684,6.640776699029126e-06
685,6.650485436893205e-06
686,6.660194174757282e-06
687,6.6699029126213595e-06
688,6.679611650485437e-06
689,6.689320388349515e-06
690,6.6990291262135935e-06
691,6.70873786407767e-06
692,6.718446601941748e-06
693,6.728155339805825e-06
694,6.7378640776699035e-06
695,6.747572815533981e-06
696,6.757281553398059e-06
697,6.766990291262137e-06
698,6.776699029126214e-06
699,6.786407766990292e-06
700,6.79611650485437e-06
701,6.8058252427184466e-06
702,6.815533980582525e-06
703,6.825242718446603e-06
704,6.83495145631068e-06
705,6.844660194174758e-06
706,6.854368932038835e-06
707,6.864077669902913e-06
708,6.873786407766991e-06
709,6.883495145631068e-06
710,6.893203883495147e-06
711,6.902912621359224e-06
712,6.912621359223301e-06
713,6.92233009708738e-06
714,6.932038834951457e-06
715,6.9417475728155345e-06
716,6.951456310679612e-06
717,6.96116504854369e-06
718,6.970873786407768e-06
719,6.980582524271845e-06
720,6.990291262135923e-06
721,7e-06
722,7.0097087378640785e-06
723,7.019417475728156e-06
724,7.029126213592233e-06
725,7.0388349514563116e-06
726,7.0485436893203884e-06
727,7.058252427184467e-06
728,7.067961165048545e-06
729,7.0776699029126216e-06
730,7.0873786407767e-06
731,7.097087378640777e-06
732,7.106796116504855e-06
733,7.116504854368933e-06
734,7.12621359223301e-06
735,7.135922330097088e-06
736,7.1456310679611655e-06
737,7.155339805825243e-06
738,7.165048543689321e-06
739,7.174757281553399e-06
740,7.184466019417476e-06
741,7.194174757281553e-06
742,7.203883495145632e-06
743,7.2135922330097095e-06
744,7.223300970873786e-06
745,7.233009708737865e-06
746,7.242718446601942e-06
747,7.25242718446602e-06
748,7.262135922330098e-06
749,7.271844660194175e-06
750,7.2815533980582534e-06
751,7.291262135922331e-06
752,7.300970873786408e-06
753,7.3106796116504866e-06
754,7.3203883495145634e-06
755,7.330097087378641e-06
756,7.33980582524272e-06
757,7.3495145631067966e-06
758,7.359223300970874e-06
759,7.368932038834952e-06
760,7.37864077669903e-06
761,7.388349514563108e-06
762,7.398058252427185e-06
763,7.407766990291263e-06
764,7.41747572815534e-06
765,7.427184466019418e-06
766,7.436893203883496e-06
767,7.446601941747574e-06
768,7.456310679611651e-06
769,7.466019417475728e-06
770,7.475728155339807e-06
771,7.4854368932038845e-06
772,7.495145631067961e-06
773,7.50485436893204e-06
774,7.514563106796117e-06
775,7.5242718446601945e-06
776,7.533980582524273e-06
777,7.54368932038835e-06
778,7.553398058252428e-06
779,7.563106796116505e-06
780,7.572815533980583e-06
781,7.5825242718446616e-06
782,7.592233009708738e-06
783,7.601941747572816e-06
